wind spd [m/s],Surface T[K],TOA T[K],transmittance,jakobian,TCWV [cm]
0,271.459,270.452,0.864,0.8671,0.2801315943772848
0,271.52,270.325,0.8557,0.8605,0.30504575976505743
0,271.46,270.543,0.8441,0.8471,0.40769059770665833
0,271.46,270.424,0.9252,0.9291,1.3762935864948784
0,271.459,270.445,0.8593,0.8623,0.26496561007071734
0,271.744,270.542,0.8481,0.8538,0.3167709666399841
0,271.489,270.589,0.842,0.8452,0.4170587305552865
0,271.46,270.42,0.9278,0.9317,1.4400729097092282
0,271.471,270.468,0.859,0.8622,0.24663595621338588
0,271.829,270.622,0.8438,0.8497,0.37995615220284196
0,272.644,271.613,0.8408,0.845,0.4082101431171705
0,272.208,271.134,0.9302,0.9346,1.4943613262429065
0,272.072,271.028,0.8658,0.8696,0.2408034344042053
0,272.036,270.824,0.8447,0.8503,0.441735913895163
0,273.664,272.505,0.8371,0.8417,0.399303686783968
0,273.555,272.431,0.9333,0.9379,1.5567057557881643
0,272.579,271.536,0.878,0.8822,0.2493522252757058
0,272.817,271.544,0.8498,0.856,0.48456246526591656
0,273.985,272.787,0.8334,0.8386,0.3749209974863995
0,274.079,272.976,0.9386,0.9432,1.6124982027501749
0,273.614,272.555,0.8912,0.8956,0.26274951181086303
0,273.444,272.142,0.8563,0.8622,0.5066895423003779
0,271.46,270.446,0.8775,0.8806,0.2757614985749466
0,271.46,270.468,0.9063,0.9096,0.21807069692504574
0,271.459,270.324,0.8757,0.8801,0.1722010064599022
0,271.46,270.554,0.9641,0.9673,0.4840433277418895
0,271.46,270.476,0.8766,0.8798,0.3151930067862114
0,271.46,270.513,0.9144,0.9177,0.24638806320201093
0,271.46,270.376,0.8675,0.8713,0.18285245216256313
0,271.46,270.553,0.9634,0.9666,0.5201711083805377
0,271.46,270.472,0.8749,0.8781,0.33916164031550017
0,271.46,270.518,0.9165,0.9199,0.26812535371406143
0,271.459,270.425,0.8722,0.8755,0.17660261149322146
0,271.46,270.541,0.9622,0.9655,0.5529835366817414
0,271.46,270.471,0.8737,0.8768,0.3559080827805622
0,271.46,270.491,0.9111,0.9144,0.28674205768534616
0,271.459,270.481,0.8785,0.8816,0.21332029796107746
0,271.46,270.536,0.9615,0.9648,0.5726768060448777
0,271.46,270.472,0.8706,0.8738,0.36815308999505447
0,271.46,270.487,0.9067,0.91,0.30111358109038255
0,271.459,270.509,0.8831,0.8863,0.24923551875513045
0,271.46,270.526,0.9603,0.9638,0.576547648789342
0,271.46,270.485,0.87,0.8731,0.37719537252782553
0,271.46,270.522,0.9047,0.908,0.3074011512596045
0,271.459,270.528,0.8857,0.8888,0.2717302034843704
0,271.46,270.515,0.9591,0.9626,0.5530470650018101
0,271.46,270.487,0.8692,0.8724,0.3667139645036786
0,271.46,270.55,0.8984,0.9017,0.36010707020236266
0,271.459,270.539,0.8857,0.8889,0.284830752601551
0,271.46,270.503,0.9576,0.9611,0.4577472429422892
0,271.46,270.459,0.8664,0.8695,0.3673956447920544
0,271.46,270.513,0.885,0.8882,0.4458664783590726
0,271.459,270.543,0.8838,0.887,0.2924804596880688
0,271.46,270.482,0.9553,0.9589,0.37012685269689444
0,271.46,270.475,0.8693,0.8725,0.3766509460417165
0,271.46,270.425,0.8715,0.8748,0.52528325167106
0,271.459,270.547,0.883,0.8862,0.29571056375010835
0,271.46,270.446,0.9516,0.9555,0.31875609917759895
0,271.46,270.509,0.8728,0.8759,0.3841255168686555
0,271.46,270.394,0.8661,0.8697,0.635388384412618
0,271.459,270.549,0.8823,0.8854,0.29577358221207045
0,271.46,270.384,0.9442,0.9487,0.39657411042506874
0,271.46,270.537,0.8773,0.8804,0.36753320450918514
0,271.46,270.394,0.8668,0.8703,0.8289727378870462
0,271.459,270.553,0.8815,0.8847,0.29184130156577426
0,271.46,270.314,0.9344,0.9395,0.521495719741196
0,271.46,270.559,0.8782,0.8813,0.3575407504091611
0,271.46,270.373,0.8737,0.8776,1.0412598083953237
0,271.459,270.55,0.8809,0.8841,0.2847472888295188
0,271.46,270.223,0.9179,0.9239,0.5660544120571245
0,271.46,270.565,0.8752,0.8783,0.35905329546787135
0,271.46,270.373,0.8914,0.8954,1.2017484564045824
0,271.459,270.55,0.8816,0.8847,0.27761539363595117
0,271.46,270.148,0.8979,0.9044,0.5767994167223263
0,271.46,270.565,0.8716,0.8747,0.3708099096021577
0,271.46,270.409,0.9044,0.9082,1.2841543748374826
0,271.459,270.55,0.8815,0.8846,0.26692851279488916
0,271.46,270.155,0.8845,0.8909,0.5187989272585439
0,271.46,270.556,0.8687,0.8718,0.39146732064466455
0,271.46,270.45,0.9132,0.9166,1.3608497295202746
0,271.459,270.561,0.8836,0.8867,0.2619921175936738
0,271.46,270.207,0.8729,0.8785,0.41364171251140813
0,271.46,270.546,0.8659,0.869,0.41775585954428884
0,271.46,270.48,0.9221,0.9254,1.412311237782525
0,271.459,270.578,0.8876,0.8905,0.25538486639168323
0,271.649,270.432,0.8553,0.8601,0.32087150046142165
0,271.46,270.544,0.8633,0.8664,0.4126603376280381
0,271.46,270.464,0.9255,0.9289,1.456973431294071
0,271.459,270.606,0.8917,0.8944,0.2384833250906273
0,271.799,270.586,0.8529,0.8589,0.3555377728378193
0,271.511,270.604,0.8592,0.8623,0.40415575145437027
0,271.613,270.618,0.9304,0.9344,1.4892359776274264
0,271.694,270.843,0.8955,0.8978,0.22704618804586682
0,273.108,271.74,0.8501,0.8571,0.4126454497713287
0,273.086,272.004,0.8545,0.8585,0.3846801915027048
0,272.957,271.889,0.9321,0.9365,1.5267503173866714
0,272.662,271.761,0.8997,0.9025,0.2261582701534163
0,273.672,272.283,0.8541,0.8605,0.4558510806442567
0,274.045,272.846,0.8467,0.8519,0.3731158448603754
0,274.246,273.127,0.9346,0.9392,1.5862532567186556
0,273.716,272.766,0.9101,0.9133,0.2426786925198717
0,273.819,272.482,0.8625,0.8687,0.47907435260766934
0,271.46,270.449,0.8839,0.8871,0.2665142020975563
0,271.46,270.479,0.9177,0.9211,0.17545930567523058
0,271.459,270.291,0.8833,0.8882,0.07718435959272535
0,271.46,270.551,0.9646,0.9678,0.4589407187979585
0,271.46,270.493,0.8881,0.8913,0.3020880219035043
0,271.46,270.556,0.9298,0.9329,0.2048684311156205
0,271.459,270.338,0.8705,0.8747,0.10443958946225267
0,271.46,270.55,0.9642,0.9673,0.4713137003971795
0,271.46,270.481,0.8863,0.8895,0.3287219896702747
0,271.46,270.56,0.9303,0.9334,0.22819581610437817
0,271.459,270.351,0.861,0.865,0.14314215353867016
0,271.46,270.547,0.9632,0.9665,0.48082306394130525
0,271.46,270.467,0.8831,0.8863,0.3557293775142379
0,271.46,270.553,0.9278,0.931,0.2569319288442027
0,271.459,270.366,0.8576,0.8614,0.16245787297395137
0,271.46,270.547,0.9626,0.9658,0.5152721367643385
0,271.46,270.476,0.8793,0.8825,0.3704410782479236
0,271.46,270.526,0.9207,0.924,0.28952027450760454
0,271.459,270.382,0.8555,0.8591,0.1669676189116569
0,271.46,270.549,0.9621,0.9653,0.5607412827010243
0,271.46,270.502,0.8786,0.8818,0.3912383943548511
0,271.46,270.49,0.9117,0.915,0.3025934442444668
0,271.459,270.41,0.8622,0.8655,0.19802690011369842
0,271.46,270.549,0.9616,0.9648,0.5838855776437417
0,271.46,270.511,0.8773,0.8805,0.40427266191818817
0,271.46,270.477,0.9037,0.907,0.31696838369881664
0,271.459,270.422,0.8652,0.8684,0.23246807013608115
0,271.46,270.547,0.961,0.9643,0.5926219962984302
0,271.46,270.49,0.8762,0.8793,0.3939428856949111
0,271.46,270.521,0.9012,0.9045,0.3885512891762223
0,271.459,270.441,0.8689,0.872,0.2527951441113938
0,271.46,270.544,0.9604,0.9637,0.588260466112281
0,271.46,270.477,0.8753,0.8785,0.3983412276363489
0,271.46,270.576,0.9001,0.9031,0.4911061881478383
0,271.459,270.462,0.8742,0.8773,0.26292424018395677
0,271.46,270.536,0.9596,0.963,0.5073928915582794
